"7270","2008-2009",93.5,94.3
"7280","2008-2009",91.2,94.3
"7290","2008-2009",96.2,94.3
"7300","2008-2009",94.8,94.3
"7310","2008-2009",94,94.3
"7320","2008-2009",96.1,94.3
"7330","2008-2009",92.8,94.3
"7350","2008-2009",94.1,94.3
"7360","2008-2009",92.7,94.3
"7370","2008-2009",94.4,94.3
"7380","2008-2009",95.2,94.3
"7390","2008-2009",94.7,94.3
"7400","2008-2009",96,94.3
"7430","2008-2009",93.1,94.3
"7440","2008-2009",91.3,94.3
"7460","2008-2009",94.4,94.3
"7470","2008-2009",91.5,94.3
"7490","2008-2009",92.9,94.3
"7500","2008-2009",94.4,94.3
"7510","2008-2009",94.4,94.3
"7530","2008-2009",91.8,94.3
"7730","2008-2009",93,94.3
"8010","2008-2009",95.4,94.3
"8020","2008-2009",94.3,94.3
"8030","2008-2009",94.4,94.3
"8040","2008-2009",95.8,94.3
"8090","2008-2009",94.4,94.3
"8120","2008-2009",94.1,94.3
"8140","2008-2009",95.8,94.3
"8160","2008-2009",96,94.3
"8180","2008-2009",95.7,94.3
"8200","2008-2009",92.6,94.3
"8210","2008-2009",93.1,94.3
"8230","2008-2009",95.2,94.3
"8240","2008-2009",94.3,94.3
"8250","2008-2009",95.6,94.3
"8260","2008-2009",95.7,94.3
"8270","2008-2009",89.7,94.3
"8300","2008-2009",94.4,94.3
"8310","2008-2009",93.2,94.3
"8320","2008-2009",92.2,94.3
"8340","2008-2009",93.5,94.3
"8350","2008-2009",94.1,94.3
"8360","2008-2009",95.5,94.3
"8370","2008-2009",95.9,94.3
"8380","2008-2009",93.1,94.3
"8390","2008-2009",92.5,94.3
"8400","2008-2009",93.9,94.3
"8410","2008-2009",95.4,94.3
"8420","2008-2009",95.4,94.3
"8430","2008-2009",94.8,94.3
"8440","2008-2009",93.8,94.3
"7100","2009-2010",95,94.3
"7110","2009-2010",94.6,94.3
"7120","2009-2010",94.3,94.3
"7130","2009-2010",95.3,94.3
"7150","2009-2010",96.1,94.3
"7200","2009-2010",93.7,94.3
"7220","2009-2010",93.1,94.3
"7260","2009-2010",94.9,94.3
"7270","2009-2010",89.4,94.3
"7280","2009-2010",94.3,94.3
