"1410","2009-2010",23,0,0,4,0
"4140","2009-2010",37,1,2,6,2
"8030","2009-2010",26,7,2,1,0
"8040","2009-2010",1,0,0,1,0
"5500","2009-2010",14,0,0,1,0
"6250","2009-2010",8,0,0,2,0
"6240","2009-2010",4,1,0,3,0
"5250","2010-2011",5,0,0,1,0
"8420","2008-2009",9,0,0,2,1
"2540","2009-2010",0,0,0,0,0
"8040","2010-2011",0,1,0,1,0
"2130","2009-2010",13,2,0,5,2
"5250","2009-2010",16,0,0,0,0
"8230","2009-2010",0,0,0,0,0
"8210","2010-2011",8,0,0,1,0
"2640","2009-2010",12,0,0,0,0
"4450","2009-2010",12,1,0,1,0
"4560","2009-2010",3,0,0,0,0
"4030","2009-2010",4,0,0,0,0
"4060","2009-2010",12,1,1,3,0
"7370","2009-2010",15,0,0,4,0
"8340","2009-2010",5,0,0,0,0
"6480","2009-2010",2,0,0,0,0
"1060","2009-2010",9,1,0,1,0
"2370","2009-2010",14,1,6,3,1
"5080","2010-2011",2,1,0,2,0
"1410","2008-2009",17,1,0,0,0
"7200","2008-2009",2,0,0,0,0
"1260","2008-2009",14,0,0,4,0
"2380","2008-2009",0,0,0,1,0
"4060","2008-2009",7,0,0,0,0
"4100","2008-2009",15,1,2,3,0
"5240","2008-2009",8,5,0,5,2
"6040","2009-2010",6,1,0,1,0
"2490","2008-2009",6,0,0,1,0
"1580","2008-2009",4,1,0,0,1
"1460","2008-2009",11,0,2,2,1
"5480","2008-2009",2,0,0,0,0
"4460","2008-2009",6,0,1,1,0
"5050","2008-2009",3,0,0,0,0
"8240","2008-2009",15,1,3,4,0
"2650","2008-2009",2,0,3,0,0
"2690","2008-2009",6,1,0,3,0
"1250","2008-2009",10,0,1,2,1
"4270","2008-2009",2,0,0,2,0
"5560","2008-2009",1,0,0,1,0
"5650","2008-2009",4,0,1,0,0
"5680","2008-2009",14,1,1,2,0
"7440","2008-2009",4,0,1,2,0
"1580","2011-2012",3,0,2,0,1
"2670","2011-2012",6,4,1,1,2
"5070","2011-2012",2,4,1,1,8
"7470","2011-2012",3,0,1,1,1
"8320","2011-2012",13,0,0,0,4
"8300","2011-2012",1,1,1,6,1
"5410","2011-2012",0,0,0,0,0
"5390","2011-2012",2,0,1,1,0
"2190","2011-2012",0,0,0,0,2
"5350","2011-2012",5,0,1,0,1
"6050","2011-2012",4,1,0,4,2
"4100","2011-2012",38,4,6,4,0
"1290","2011-2012",19,0,1,1,1
"2090","2011-2012",26,2,1,9,13
"1350","2011-2012",8,1,0,7,0
"2000","2011-2012",24,7,3,8,5
"4400","2011-2012",23,1,1,3,3
"5520","2011-2012",17,7,1,6,6
"1010","2010-2011",33,10,0,9,2
"5470","2010-2011",8,0,0,1,1
"5440","2010-2011",5,0,0,1,1
"8400","2010-2011",2,0,0,0,0
"8420","2010-2011",3,0,0,0,0
"6310","2010-2011",3,0,0,0,0
"2320","2010-2011",9,0,0,1,0
"4390","2010-2011",8,0,1,0,0
